"Name";"Age";"Length";"Width";"Draft";"DWT";"GT";"Engine";"Speed";"Consumption";"Hotel Consumption";"Bunker Capacity";"Draft Empty";"Draft Tropic";"Draft WNA";"Ice Class";"Bi Fuel";"Cargo Volume";"Holds";"Opening Length";"Opening Width";"Floor Strength";"Cranes";"Maintenance";"Insurance";"Crew Wage";"Administration";"Total OPEX";"Available In";"Available At";"Time Until Docking";"Vessel Price";"Fuel Value";"Spare Parts Value";"Sundry Value";"Broker Fee";"Total Price"
"Asian Dream";5;119.95;16.83;6.28;7433;5164;2500;11;4.9;0.68;313;1.82;6.41;6.15;FALSE;FALSE;9828;2;29.92;12.6;20;0;400483;26821;394476;27236;849016;0;"Kolkata";682;7342257;25040;254155;84718;146845;7853015
"Ba Da Ling";29;164;22;9.8;20330;12863;6911;13;15.8;1.23;919;2.74;10;9.6;FALSE;FALSE;24145;5;14.02;12.8;10;0;421641;247546;687072;74492;1430751;0;"Nouadhibou";397;4692319;73520;621042;207014;93846;5687741
"Balboa Pearl";28;187.51;29.01;12.34;41728;28005;6055;13.1;22.2;1.8;1366;3.33;12.6;12.08;TRUE;FALSE;47670;7;24.6;23;20;2;431824;511465;687072;152898;1783259;0;"Shanghai";343;5434248;109280;643529;214510;108685;6510252
"Balgarka";10;186.45;30.05;11.48;41327;25065;8338;12.8;24.2;2.2;1716;3.1;11.72;11.24;FALSE;FALSE;52290;5;20;15.3;10;4;430574;162553;598812;151429;1343368;0;"Jeddah";643;27457460;137280;1123260;374420;549149;29641569
"Banders";10;225;32.3;12.5;73700;40230;10220;13.5;37.5;1.23;1800;3.25;12.76;12.24;FALSE;FALSE;90622;7;21;18;20;0;441221;303852;687072;270048;1702193;0;"Dunkirk";375;32906971;144000;1346194;448731;658139;35504035
"Banowati";28;224.52;32.26;12.46;62633;35119;9929;14.75;36.5;2.5;1219;3.24;12.72;12.2;FALSE;FALSE;83069;7;15.4;13.2;20;4;443141;756440;771960;229497;2201038;0;"Nouadhibou";156;1565825;97520;185427;61809;31317;1941898
"Banzai";12;224.89;32.2;13.95;74222;38938;8680;14.1;31.9;1.23;1609;3.63;14.24;13.66;FALSE;FALSE;89243;7;16.8;14.85;10;0;443416;329127;687072;271961;1731576;0;"Jeddah";714;28414569;128720;1253584;417861;568291;30783025
"Bao Hang 19";3;159.6;24.44;9.8;23000;15485;4440;14;16.3;0.92;999;2.74;10;9.6;FALSE;FALSE;30000;5;19.92;18.3;15;0;426771;76160;513924;84275;1101130;0;"New York";374;20153919;79920;657193;219064;403078;21513174
"Bao Zhong 218";26;224;32.2;13.29;68600;36120;7205;14;26.5;1.35;1423;3.46;13.57;13.01;FALSE;FALSE;81340;7;17.6;14.4;20;0;441959;698234;771960;251361;2163514;0;"Novorossiysk";182;1715000;113840;167772;55924;34300;2086836
"Barbara";20;180.8;30.54;10.93;37055;22147;5811;13;21.3;2.09;868;2.95;11.16;10.7;FALSE;FALSE;23326;2;19.2;15.2;10;3;429818;258037;687072;135776;1510703;0;"Hai Phong";165;14777785;69440;950000;316667;295556;16409448
"Bei Lun Hai 36";24;225.03;32.22;13.11;65000;36438;8974;14.4;33;1.35;1905;3.41;13.38;12.84;TRUE;FALSE;78015;7;14.6;15;15;0;442536;629872;771960;238170;2082538;0;"Shanghai";281;7696252;152400;641354;213785;153925;8857716
"Belorus";9;108.33;16.74;4.79;5489;4182;2020;10.5;3.5;0.68;294;1.39;4.89;4.69;TRUE;FALSE;7831;1;58.33;12.56;20;0;394405;25753;394476;20113;834747;0;"Gothenburg";24;5374753;23520;212161;70720;107495;5788649
"Bene";13;189.8;32.26;11.93;50212;27993;8090;14.5;29.7;2.38;1361;3.1;12.17;11.68;FALSE;FALSE;63200;5;20.24;17.96;20;4;439221;250923;687072;183984;1561200;0;"Rio Grande";650;26364969;108880;1210636;403545;527299;28615329
"Berge Aconcagua";2;360.92;65.06;23;388139;195199;29400;14.8;108;1.23;3497;3.68;23.48;22.52;FALSE;FALSE;221998;7;32.1;16.1;20;0;469945;1185457;687072;1422200;3764674;0;"Port-Gentil";156;244196403;279760;7738618;2579539;4883928;259678248
"Berge Phoenix";28;333.56;62;19.77;290793;154098;17019;14;62.5;1.47;2617;3.36;20.18;19.36;FALSE;FALSE;171948;4;16.1;18;15;0;462865;3652345;847596;1065510;6028316;0;"Kolkata";171;7269825;209360;860900;286967;145397;8772449
"Bi Hua Shan";25;195;32;9.98;39837;26835;7606;15.1;27.9;1.35;1448;2.69;10.19;9.77;FALSE;FALSE;47112;6;16;16;10;0;437850;416625;771960;145969;1772404;0;"Cape Town";130;9532821;115840;857954;285985;190656;10983256
"Bikan";13;189.9;32.29;12.04;52064;29493;8730;14.8;32.1;2.67;1444;3.13;12.29;11.79;FALSE;FALSE;66595;5;20.47;18.3;20;5;440686;264369;687072;190770;1582897;0;"Cork";595;26708632;115520;1226417;408806;534173;28993548
"Blue Dragon";7;88.6;12.52;5.42;3696;2545;1520;11.5;3.5;0.68;258;1.57;5.53;5.31;FALSE;FALSE;5250;1;62.7;10.1;15;0;393692;14270;394476;13543;815981;0;"Melbourne";513;3774493;20640;139223;46408;75490;4056254
"Blue Sapphire";13;189.96;32.2;11.62;48907;28085;7700;14.5;28.3;2.38;1586;3.14;11.86;11.38;FALSE;FALSE;61555;5;20;17;10;4;438850;215507;687072;179203;1520632;0;"Cork";371;24904463;126880;1143572;381191;498089;27054195
"Bosphorus King";19;165.5;27.03;9.53;27321;16418;5370;14.1;19.7;2.2;1132;2.57;9.73;9.33;FALSE;FALSE;34810;5;19.2;13.5;15;4;429459;180262;598812;100109;1308642;0;"Dampier";100;13340052;90560;811219;270406;266801;14779038
"Bosporusdiep";6;106.86;15.2;5.25;5455;4102;1980;11.5;4.5;0.68;222;1.52;5.36;5.14;FALSE;FALSE;8354;2;37.5;12.65;15;0;398627;22082;394476;19988;835173;0;"Incheon";542;5470838;17760;195387;65129;109417;5858531
"Bramco 2";30;206.86;32.29;12.65;54500;32706;11919;15.25;43.8;2.5;1419;3.29;12.91;12.39;FALSE;FALSE;65808;8;12.5;15.9;10;4;442720;782043;771960;199696;2196419;0;"Incheon";693;1362500;113520;204375;68125;27250;1775770
"CIC Ellis";11;288.88;45.05;17.72;171448;88292;16860;14.6;61.9;1.35;2036;3.9;18.09;17.35;FALSE;FALSE;191421;9;15.48;20.6;10;0;457158;769670;771960;628211;2626999;0;"Cape Town";52;23368876;162880;992075;330692;467378;25321901
"CPO Oceania";4;292.08;45;18.2;179701;94250;18660;14.5;68.5;1.23;3100;3.82;18.58;17.82;FALSE;FALSE;199296;9;13.9;18.4;20;0;457511;597948;687072;658452;2400983;0;"Rostock";82;42695979;248000;1433820;477940;853920;45709659
"CSL Trimnes";24;149.51;24;8.42;17309;14145;4980;13.5;15.9;1.52;857;2.36;8.6;8.24;FALSE;FALSE;17028;4;19.2;16;20;1;421233;207673;687072;63423;1379401;0;"Dampier";239;7270459;68560;605872;201957;145409;8292257
"Cape";17;224.98;32.28;13.9;73049;38520;8679;14.76;31.9;1.23;1292;3.61;14.19;13.61;FALSE;FALSE;85554;7;16.6;14.09;15;0;445360;439804;687072;267663;1839899;0;"Hamburg";426;16626203;103360;912414;304138;332524;18278639
"Cape Acacia";9;299.94;50;18.11;206237;104735;16650;14.5;61.1;1.23;3054;3.62;18.49;17.73;FALSE;FALSE;219807;9;16.2;23.8;20;0;459533;818327;687072;755684;2720616;0;"Tanger";500;44648278;244320;1762432;587477;892966;48135473
"Cape Climber";23;284.97;45.05;18.52;169146;89004;15420;14.7;56.6;2.05;2694;4.07;18.91;18.13;FALSE;FALSE;175293;9;12.97;20;20;2;457291;1596582;847596;619776;3521245;0;"Port-Gentil";614;4228650;215520;328085;109362;84573;4966190
"Cape Maria";9;289;45.04;17.75;170012;87440;16860;16;61.9;1.23;2458;3.91;18.12;17.38;FALSE;FALSE;188946;9;15.4;20.6;10;0;461412;683196;687072;622949;2454629;0;"Lome";224;29731033;196640;1173593;391198;594621;32087085
"Cape Olive";18;290;46;17.18;169963;85663;17698;14.65;65;1.35;3150;3.78;17.54;16.82;FALSE;FALSE;183357;9;17.1;21.2;10;0;457197;1139765;771960;622770;2991692;0;"Hai Phong";218;4249075;252000;245139;81713;84982;4912909
"Cape Saturn";11;289;45;17.78;175775;91178;16858;14.8;61.9;1.35;2392;3.73;18.15;17.41;FALSE;FALSE;196002;9;16.4;21.6;15;0;458182;794828;771960;644066;2669036;0;"Pasir Gudang";75;23884728;191360;1013974;337991;477695;25905748
"Capt Stefanos";12;224.9;32.24;13.96;74077;39035;11044;14.9;40.6;1.23;1451;3.63;14.25;13.67;FALSE;FALSE;88998;7;16.8;14.8;10;0;446003;329946;687072;271430;1734451;0;"Mumbai";310;28358276;116080;1251100;417033;567166;30709655
"Captain Wael";29;151.94;24;9.69;21654;12312;4266;13;15.7;2.38;888;2.71;9.89;9.49;FALSE;FALSE;26804;4;20;12.7;15;4;422493;236943;687072;79344;1425852;0;"Tanger";119;4746610;71040;628228;209409;94932;5750219
"Cedros";8;112;19;8.33;11023;6126;3309;13;10.5;1.21;602;2.33;8.5;8.16;FALSE;FALSE;12875;1;62;14.25;20;1;413463;35931;513924;40390;1003708;0;"Chiba";287;10091748;48160;384855;128285;201835;10854883
"Century Pearl";6;137.03;23;8.33;16383;9967;4635;13.8;16.4;2.07;817;2.33;8.5;8.16;FALSE;FALSE;20372;4;21.76;17.25;10;4;421505;53655;513924;60030;1049114;0;"Jeddah";525;14262619;65360;509379;169793;285252;15292403
"Chang Ming 6";28;200.11;32.24;12.02;51501;29743;8639;13.25;31.1;1.35;1844;3.13;12.27;11.77;FALSE;FALSE;61964;7;12.7;15.1;10;0;435292;640644;771960;188708;2036604;0;"Dunkirk";376;4839376;147520;573084;191028;96788;5847796
"Chang Shan";9;79.99;13.6;5.2;2600;1983;1080;11.6;2.8;0.68;209;1.51;5.31;5.09;FALSE;FALSE;4127;1;29.99;10.2;10;0;389680;12211;394476;9527;805894;0;"Port-Gentil";13;2658705;16720;104949;34983;53174;2868531
"China Progress";8;289;45.05;18.07;174322;88930;16860;14.5;61.9;1.23;3028;3.98;18.45;17.69;FALSE;FALSE;193248;9;15.47;20;15;0;457067;660670;687072;638742;2443551;0;"Cape Town";539;32998377;242240;1258413;419471;659968;35578469
"Col Caballero";12;150.52;26;9.56;23587;14446;5295;13.7;19.4;2.2;1203;2.68;9.76;9.36;FALSE;FALSE;30584;4;19.5;17.82;15;4;426111;104631;598812;86427;1215981;0;"Rotterdam";239;16583995;96240;731647;243882;331680;17987444
"Copan";28;146.74;22.81;8.96;17777;10681;5520;13.7;16.9;2.38;858;2.51;9.15;8.77;FALSE;FALSE;21824;4;21;12;20;4;422272;195071;687072;65138;1369553;0;"Karachi";422;5093912;68640;603226;201075;101878;6068731
"Coral 3";25;185;22.96;10.47;26790;16835;7576;12.5;16.9;2.67;1020;2.83;10.69;10.25;FALSE;FALSE;33588;6;12.8;12.8;10;5;423507;261371;687072;98163;1470113;0;"Guangzhou";293;8704496;81600;783405;261135;174090;10004726
"Corona Infinity";12;229.93;38;13.82;88233;48040;12268;14.7;45;1.35;2561;3.46;14.11;13.53;FALSE;FALSE;101695;5;23.01;17.6;10;0;447867;406062;771960;323299;1949188;0;"Dalian";510;32367656;204880;1427985;475995;647353;35123869
"Cos Glory";15;187.3;32.2;11.36;46680;26829;7208;14.5;26.5;2.38;1291;3.07;11.6;11.12;FALSE;FALSE;59830;5;20.8;18.3;20;4;438196;231741;687072;171043;1528052;0;"Karachi";486;21634017;103280;1081701;360567;432680;23612245
"DD Vanguard";7;159;27;9.92;26479;17136;6480;14.3;23.8;2.07;1495;2.68;10.13;9.71;FALSE;FALSE;34550;5;16;19.2;10;4;429679;96083;513924;97024;1136710;0;"Portland";534;20975237;119600;773677;257892;419505;22545911
"Dalo Z";4;157;24.83;9.8;25041;15545;4900;13;18;1.79;1165;2.65;10;9.6;FALSE;FALSE;30760;4;24.25;18.62;10;3;424462;78329;513924;91755;1108470;0;"Sihanoukville";299;21135596;93200;709777;236592;422712;22597877
"Damgracht";5;156.93;22.9;10.28;18143;13558;8400;16.85;30.8;1.79;1650;2.88;10.49;10.07;FALSE;FALSE;21670;2;70.4;17.8;10;3;431773;70418;513924;66479;1082594;0;"Tanger";387;15706011;132000;543670;181223;314120;16877024
"Darya Maan";29;146.82;22.81;9;17825;10405;5520;14;18.1;1.23;577;2.52;9.19;8.81;FALSE;FALSE;21824;4;21;12;10;0;423305;200243;687072;65314;1375934;0;"Mina Qaboos";496;4529131;46160;599444;199815;90583;5465133
"Dogan Bey";11;115.33;19.6;8.79;12260;7265;3604;13.3;12.1;1.91;848;2.46;8.97;8.61;FALSE;FALSE;14952;3;20.02;12.6;20;3;415925;49742;598812;44922;1109401;0;"San Antonio";577;10439842;67840;443201;147734;208797;11307414
"Doris";3;180;30.05;9.9;34505;23458;7900;14;28.1;2.07;1526;2.67;10.11;9.69;FALSE;FALSE;48765;5;20.2;19.2;15;4;432347;115373;513924;126432;1188076;0;"Kashima";577;27978524;122080;912343;304114;559570;29876631
"Eastern Glamour";3;254;43.06;14.5;115461;64769;13080;14.5;48;1.23;2614;3.48;14.8;14.2;FALSE;FALSE;137795;7;26.29;21;10;0;451081;400666;687072;423067;1961886;0;"Newcastle";11;64035694;209120;2088120;696040;1280714;68309688
"Egret Bulker";4;189.99;32.3;12.95;57809;33045;8700;14.3;31.9;2.2;1864;3.37;13.22;12.68;FALSE;FALSE;71550;5;25;21;20;4;440550;192825;598812;211821;1444008;0;"New York";408;37760020;149120;1268060;422687;755200;40355087
"Elefsis";17;224.8;32.23;13.76;72873;38852;9709;14.5;35.7;1.23;1659;3.58;14.05;13.47;FALSE;FALSE;87024;7;17.53;14.85;10;0;444487;443594;687072;267018;1842171;0;"Odessa";230;16585211;132720;910164;303388;331704;18263187
"Eminence";17;147.03;25.8;8.88;20872;13531;5296;13.6;18.4;1.04;893;2.49;9.07;8.7;FALSE;FALSE;20904;4;24.26;20.64;20;0;424107;131788;598812;76478;1231185;0;"Melbourne";133;11915903;71440;653922;217974;238318;13097557
"Equinox Dawn";12;189.99;32.24;12.27;52015;30049;8580;15.1;31.5;2.38;1898;3.19;12.53;12.01;FALSE;FALSE;64935;5;20.38;17.8;15;4;441603;253992;687072;190591;1573258;0;"Shanghai";259;29057231;151840;1281937;427312;581145;31499465
"Estable Trader";25;199.65;32.23;10.77;42561;35125;5907;13.9;21.7;2.22;1374;2.91;10.99;10.55;FALSE;FALSE;90768;6;16;18.72;10;3;434922;545331;771960;155950;1908163;0;"Pasir Gudang";422;9488139;109920;853933;284644;189763;10926399
"Eva N";17;304.66;53.07;18.82;218283;107512;19649;15;72.2;1.35;3685;3.76;19.21;18.43;FALSE;FALSE;120953;7;22.56;14.8;20;0;462022;1345427;771960;799822;3379231;0;"Karachi";133;5457075;294800;299474;99825;109142;6260316
"Everglory";26;225;32.2;13.24;69355;36987;7414;13.5;27.2;1.35;1738;3.44;13.52;12.96;FALSE;FALSE;81802;7;16.8;14.4;15;0;440364;714994;771960;254128;2181446;0;"Guangzhou";616;1733875;139040;169618;56539;34678;2133750
"Evrialos";27;225.79;32.26;13.22;68407;36788;7503;13.9;27.6;1.35;1099;3.44;13.5;12.94;FALSE;FALSE;80808;7;16.6;14.8;10;0;441576;751016;771960;250654;2215206;0;"Wilhelmshaven";677;1710175;87920;183233;61078;34204;2076610
"Eylul K";7;157.9;23.2;8.6;21057;14116;5950;13;16.2;1.79;1138;2.41;8.78;8.42;FALSE;FALSE;26632;4;24.48;17.4;10;3;422115;79149;513924;77157;1092345;0;"Rotterdam";321;17245114;91040;636090;212030;344902;18529176
"Falcon Traveller";20;167.2;26;9.52;26441;15880;5826;14.2;21.4;2.38;871;2.57;9.72;9.32;TRUE;FALSE;33920;5;19.25;13.05;20;4;429336;185019;687072;96884;1398311;0;"Dunkirk";302;12430283;69680;799090;266363;248606;13814022
"Federal Shimanto";13;190.43;23.6;10.67;32787;19125;7061;14.4;25.9;1.91;1063;2.88;10.89;10.45;FALSE;FALSE;40518;6;20;13;15;3;432951;146754;598812;120137;1298654;0;"Rostock";658;19942938;85040;915747;305249;398859;21647833
"Feng Shun Shan";29;156;27.74;11.52;18277;13367;5296;15;19.4;2.38;947;3.23;11.76;11.28;FALSE;FALSE;27788;4;29;22.19;15;4;426771;257246;687072;66970;1438059;0;"Ensenada";285;4564740;75760;604157;201386;91295;5537338
"Four Springs";27;256.05;42.64;13.52;109009;60168;9414;13.4;34.6;1.47;1924;3.24;13.8;13.24;FALSE;FALSE;115032;8;18.61;18.9;15;0;446417;1351278;847596;399426;3044717;0;"Batumi";230;2725225;153920;291988;97329;54505;3322967
"Fu Cheng";5;96;16;5.95;5230;3435;2060;11.6;4.5;0.96;315;1.73;6.07;5.83;FALSE;FALSE;5958;2;23.68;9.6;20;1;398493;17841;394476;19164;829974;0;"Ensenada";103;5327051;25200;184398;61466;106541;5704656
"Fu Ning Hai";30;189.03;32.2;11.23;45550;27491;7473;14;27.4;1.35;1079;3.03;11.46;11;FALSE;FALSE;57590;5;20.1;16;20;0;436206;556989;771960;166902;1932057;0;"Antwerp";560;2041017;86320;306153;102051;40820;2576361
"Fu Ning Shan";29;155;27.2;9.9;24682;15622;6355;14.5;23.3;1.8;1011;2.77;10.11;9.69;FALSE;FALSE;32520;5;19.2;17.8;15;2;429351;300643;687072;90439;1507505;0;"Dalian";0;4795527;80880;634702;211567;95911;5818587
"Fu Xing 17";19;189.85;32.04;11.62;50503;29031;8580;13.75;31.5;2.38;1691;3.02;11.86;11.38;FALSE;FALSE;61570;5;19.95;15.87;10;4;436794;374204;687072;185051;1683121;0;"Wilhelmshaven";91;18455857;135280;1122316;374105;369117;20456675
"GH Resources";24;266.02;40.6;15.42;123503;63106;11916;14;43.8;1.47;1358;3.7;15.74;15.1;FALSE;FALSE;133398;9;14;18.6;15;0;450353;1199048;847596;452534;2949531;0;"Corpus Christi";678;5894116;108640;491176;163725;117882;6775539
"Gaia Pegasus";10;319.58;54;18.13;229186;113929;22432;15.1;82.4;1.35;2836;3.44;18.51;17.75;FALSE;FALSE;146960;5;23.7;17;20;0;463065;939084;771960;839772;3013881;0;"Alexandria";419;52531567;226880;2149019;716340;1050631;56674437
"Gdynia";28;225.03;32.26;12.92;65738;35748;10591;15;38.9;1.93;1417;3.36;13.19;12.65;FALSE;FALSE;75551;7;16.6;13.1;20;2;444614;769988;771960;240874;2227436;0;"Kashima";257;1643450;113360;194619;64873;32869;2049171
"Genco Knight";15;225;32.26;13.93;73941;38646;9158;14;33.6;1.23;1978;3.62;14.22;13.64;TRUE;FALSE;85926;6;22.32;15.88;10;0;443021;390667;687072;270931;1791691;0;"Antwerp";361;20548408;158240;1027420;342473;410968;22487509
"Glory Ace";15;189.8;31;11.62;46620;27011;7429;14.5;27.3;2.2;1433;3.14;11.86;11.38;FALSE;FALSE;59820;5;20.8;17.16;15;4;438178;233313;598812;170823;1441126;0;"Ensenada";129;21623366;114640;1081168;360389;432467;23612030
"Glory Apollo";20;269.98;43.04;17.33;149380;77372;12431;13.9;45.6;1.47;1910;3.99;17.69;16.97;FALSE;FALSE;164601;9;14.2;18.4;15;0;452752;1162349;847596;547351;3010048;0;"Wilhelmshaven";580;3734500;152800;240075;80025;74690;4282090
"Golden Bird";28;121.8;20.01;8.31;12342;7170;3016;13;11.1;2.38;820;2.33;8.48;8.14;TRUE;FALSE;15051;3;28.7;10.2;20;4;414960;130948;687072;45223;1278203;0;"Batumi";137;4244856;65600;502680;167560;84897;5065593
"Graff";18;266;40.56;15.42;122301;63153;11907;14;43.7;1.35;2086;3.7;15.74;15.1;FALSE;FALSE;136044;9;13.95;18.59;10;0;450213;840265;771960;448130;2510568;0;"Tallinn";19;25403933;166880;1465612;488537;508079;28033041
"Grand Amanda";3;229;32.26;14.58;79467;43501;11900;14.5;43.7;1.04;2511;3.65;14.88;14.28;FALSE;FALSE;98378;7;22.7;19.36;20;0;445720;247612;598812;291180;1583324;0;"Hai Phong";558;42479421;200880;1385199;461733;849588;45376821
"Grand Horizon";27;273.76;43.93;17.24;150476;82176;15403;14.5;56.6;1.47;2937;3.79;17.6;16.88;FALSE;FALSE;160002;9;13.9;18.4;10;0;454920;1845543;847596;551367;3699426;0;"Kamsar";628;3761900;234960;403061;134354;75238;4609513
"Great Concord";15;160.4;25.8;9.55;24159;15983;6076;14.3;22.3;2.2;1491;2.67;9.75;9.35;TRUE;FALSE;31960;4;20;16;15;4;428421;138056;598812;88523;1253812;0;"Shanghai";93;14340308;119280;717015;239005;286806;15702414
"Green Forest";26;199.2;32.23;10.92;43117;34168;5995;15.35;22;2.22;1115;2.95;11.15;10.69;FALSE;FALSE;87300;6;23.2;22.56;15;3;439713;560480;771960;157988;1930141;0;"Kashima";270;8079257;89200;790362;263454;161585;9383858
"Green Ocean 1";30;185.83;30.43;11.3;43381;26195;7120;14;26.1;2.38;1717;3.05;11.54;11.06;TRUE;FALSE;53400;5;20.8;15.3;15;4;435525;530731;687072;158955;1812283;0;"Gothenburg";257;2512105;137360;376816;125605;50242;3202128
"Grouse Arrow";23;185.2;30;12.22;42276;28157;9378;15;34.4;1.8;1123;3.3;12.47;11.97;TRUE;FALSE;46980;10;23.04;10.5;20;2;438378;390605;687072;154906;1670961;0;"Antwerp";559;12084111;89840;937560;312520;241682;13665713
"Guo Yuan 3";28;164;22;9.82;20330;12863;5650;15;20.7;2.67;1211;2.75;10.02;9.62;FALSE;FALSE;25095;5;14.02;12.8;15;5;428227;234921;687072;74492;1424712;0;"Lome";724;5342724;96880;632691;210897;106854;6390046
"Gypsum Integrity";5;197.1;32.2;11.5;47761;33047;11275;15;41.4;1.04;2064;3.11;11.74;11.26;FALSE;FALSE;45700;4;11.2;19.2;10;0;440093;171640;598812;175004;1385549;0;"Izmir";187;32300489;165120;1118094;372698;646010;34602411
"Hai Phuong Sky";4;92.05;15.03;6;4902;2758;1765;12;4.8;0.68;200;1.74;6.13;5.88;FALSE;FALSE;4000;2;21;10;10;0;399236;13897;394476;17962;825571;0;"Kamsar";640;5118473;16000;171889;57296;102369;5466027
"Hai Wang Xing";19;186.58;29;10.8;37532;24964;6130;14.5;22.5;1.33;1367;2.92;11.03;10.58;FALSE;FALSE;39565;5;25.1;10;10;1;435148;274093;598812;137523;1445576;0;"Karachi";602;15785074;109360;959903;319968;315701;17490006
"Hanjin Port Kembla";21;263.5;41.04;16.02;126267;68243;9820;13.37;36.1;1.47;1491;3.68;16.35;15.69;FALSE;FALSE;148776;8;16.6;18.4;10;0;448411;1088440;847596;462662;2847109;0;"Alexandria";344;17749902;119280;1210221;403407;354998;19837808
"Harm";3;229.11;38.04;14.9;93183;51225;13560;14.9;49.8;1.23;2369;3.73;15.21;14.59;FALSE;FALSE;110299;7;21.3;16.7;20;0;449291;291577;687072;341437;1769377;0;"Richards Bay";486;49904411;189520;1627318;542439;998088;53261776
"He Heng";6;327.07;55;21.43;297592;152305;22360;14.5;82.1;1.23;4671;3.64;21.88;20.98;FALSE;FALSE;184104;6;32.1;16.1;20;0;464957;1035108;687072;1090422;3277559;0;"Chiba";225;119576799;373680;4270600;1423533;2391536;128036148
"Heng Mao";3;300;50;18.2;207980;106235;18660;14.8;68.5;1.23;3339;3.64;18.58;17.82;FALSE;FALSE;224874;9;24;15.48;20;0;460656;657178;687072;762070;2566976;0;"Mumbai";242;64067261;267120;2089150;696383;1281345;68401259
"Hyundai Power";9;269.32;43;17.42;149322;76068;14049;14.4;51.6;1.23;1576;4.01;17.78;17.06;FALSE;FALSE;165618;9;14.02;20;20;0;454473;594343;687072;547138;2283026;0;"Gdansk";312;45369686;126080;1790909;596970;907394;48791039
"Iasos";27;180.02;23.12;10.55;28358;16344;4906;13;18;2.38;1215;2.85;10.77;10.33;FALSE;FALSE;35285;5;19.6;11.2;10;4;426155;283017;687072;103908;1500152;0;"Cork";527;7046721;97200;755006;251669;140934;8291530
"Ikaria Island";17;171.6;27;10.42;32211;19420;7061;14.5;25.9;2.2;1216;2.81;10.64;10.2;FALSE;FALSE;41085;5;19.75;18;20;4;433025;189146;598812;118026;1339009;0;"Mina Saqr";688;16176605;97280;887741;295914;323532;17781072
"Iron Chieftain";21;202;32.3;12.02;50587;34422;8473;14;31.1;1.35;1928;3.12;12.27;11.77;FALSE;FALSE;50120;5;19.2;14;10;0;437672;500002;771960;185359;1894993;0;"Cape Town";662;15906389;154240;1084527;361509;318128;17824793
