"Type";"Start Port";"Start Week";"Destination";"Duration";"Weight";"Pickup Interval";"Cargo";"Cranes";"Ice Class";"Bi Fuel";"Rate";"Currency";"Discharge Time";"Port Days";"SSHINC";"Demurage";"Signing Fee";"Cargo Volume";"Floor Strength";"Maintenance Period";"Monthly Payment Date";"Penalty";"Broker";"Commission"
"Voyage Charter";"Antwerp";2;"Hamburg";2;6007;0;"Agribulk";FALSE;FALSE;FALSE;15;"USD";0;1;TRUE;13675;0.14;0;0;0;0;5470;"Brauner International";0.05
"Voyage Charter";"Hamburg";2;"Marseille";3;64679;0;"Fertilizers";FALSE;FALSE;FALSE;11.5;"USD";0;-3;TRUE;16750;0.27;0;0;0;0;6700;"Great Eagle Tranport Services";0.02
"Voyage Charter";"New York";2;"Corpus Christi";5;39813;0;"Agribulk";FALSE;FALSE;FALSE;11.25;"USD";0;14;FALSE;17550;0.31;0;0;0;0;7020;"McCorran Freight";0.04
"Voyage Charter";"Rotterdam";2;"Antwerp";2;13907;0;"Steel Products";FALSE;FALSE;FALSE;20.57;"USD";0;5;FALSE;13675;0.45;0;0;0;0;5470;"Brauner International";0.05
"Voyage Charter";"San Antonio";2;"Chiba";9;52307;0;"Iron Ore";FALSE;FALSE;FALSE;13.06;"USD";0;15;TRUE;17550;0.42;0;0;0;0;7020;"McCorran Freight";0.04
"Voyage Charter";"New York";3;"Shanghai";11;46848;0;"Agribulk";FALSE;FALSE;FALSE;19.23;"USD";0;6;FALSE;16750;0.04;0;0;0;0;6700;"McCorran Freight";0.04
"Voyage Charter";"Gdansk";3;"Rotterdam";3;13759;0;"Coal";FALSE;TRUE;FALSE;10;"USD";0;-2;FALSE;13675;0.13;0;0;0;0;5470;"Worldwide Freight";0.03
"Voyage Charter";"Hamburg";3;"Antwerp";1;23338;0;"Manufactureds";FALSE;FALSE;FALSE;19.92;"USD";0;5;TRUE;17550;0.21;0;0;0;0;7020;"Worldwide Freight";0.01
"Voyage Charter";"Rotterdam";3;"Antwerp";1;5013;0;"Steel Products";FALSE;FALSE;FALSE;20.57;"USD";0;4;TRUE;13675;0.18;0;0;0;0;5470;"Worldwide Freight";0.01
"Voyage Charter";"Shanghai";3;"Portland";5;79344;0;"Manufactureds";FALSE;FALSE;FALSE;16.6;"USD";0;10;FALSE;17058;0.13;0;0;0;0;6823;"Bosman Freight Forwarders";0.01
"Voyage Charter";"Incheon";3;"Corpus Christi";14;67851;0;"Manufactureds";FALSE;FALSE;FALSE;22;"USD";0;32;FALSE;24248;0.03;0;0;0;0;9699;"ABC Logisitcs";0.05
"Voyage Charter";"Portland";3;"Gdansk";11;88503;0;"Manufactureds";FALSE;TRUE;FALSE;14.82;"USD";0;14;FALSE;16490;0.47;0;0;0;0;6596;"McCorran Freight";0.03
"Voyage Charter";"Chiba";3;"Portland";4;72495;0;"Steel Products";FALSE;FALSE;FALSE;9.65;"USD";0;7;FALSE;19855;0.26;0;0;0;0;7942;"Omega Forwarding";0.02
"Voyage Charter";"Antwerp";3;"Gothenburg";1;8637;0;"Agribulk";FALSE;TRUE;FALSE;22;"USD";0;1;FALSE;13675;0.32;0;0;0;0;5470;"Worldwide Freight";0.02
"Voyage Charter";"New York";3;"Richards Bay";6;36887;0;"Agribulk";FALSE;FALSE;FALSE;20.75;"USD";0;12;FALSE;17550;0.42;0;0;0;0;7020;"McCorran Freight";0.02
"Voyage Charter";"Corpus Christi";3;"New York";3;17557;0;"Coal";FALSE;FALSE;FALSE;12.65;"USD";0;9;FALSE;15033;0.36;0;0;0;0;6013;"Allseas Cargo";0.03
"Voyage Charter";"New York";3;"Corpus Christi";3;24773;0;"Agribulk";FALSE;FALSE;FALSE;11.25;"USD";0;10;TRUE;17550;0.42;0;0;0;0;7020;"ABC Logisitcs";0.02
"Voyage Charter";"Gijon";4;"Marseille";3;19476;0;"Minor Ores";FALSE;FALSE;FALSE;14.23;"USD";0;6;FALSE;15033;0.26;0;0;0;0;6013;"Continental Maritime";0.04
"Voyage Charter";"Chiba";4;"Marseille";11;88254;0;"Steel Products";FALSE;FALSE;FALSE;15.45;"USD";0;7;TRUE;19855;0.27;0;0;0;0;7942;"Bosman Freight Forwarders";0.04
"Voyage Charter";"Corpus Christi";4;"San Antonio";11;120595;0;"Grain";FALSE;FALSE;FALSE;15.41;"USD";0;31;TRUE;17473;0.3;0;0;0;0;6989;"Crafters Group";0.02
"Voyage Charter";"Corpus Christi";4;"Chiba";15;100618;0;"Coal";FALSE;FALSE;FALSE;14.08;"USD";0;32;TRUE;24248;0.43;0;0;0;0;9699;"Allseas Cargo";0.04
"Voyage Charter";"New York";4;"Rotterdam";4;67857;0;"Coal";FALSE;FALSE;FALSE;6.904;"USD";0;7;TRUE;19855;0.28;0;0;0;0;7942;"Worldwide Freight";0.01
"Voyage Charter";"New York";4;"Corpus Christi";3;40335;0;"Agribulk";FALSE;FALSE;FALSE;11.25;"USD";0;14;TRUE;17550;0.46;0;0;0;0;7020;"McCorran Freight";0.02
"Voyage Charter";"Rotterdam";4;"Rostock";3;13268;0;"Steel Products";TRUE;TRUE;FALSE;20.64;"USD";0;19;TRUE;13675;0.03;0;0;0;0;5470;"Bosman Freight Forwarders";0.04
"Contract Of Affreightment";"Shanghai";4;"Portland";52;38238;6;"Manufactureds";FALSE;FALSE;FALSE;25.66;"USD";7;0;TRUE;15895;0;0;0;0;0;6358;"Omega Forwarding";0.03
"Time Charter";"Antwerp";4;"Antwerp";20;6789;0;"Ballast";FALSE;FALSE;FALSE;7411;"USD";0;0;FALSE;0;0;6789;20;8;15;4460;"McCorran Freight";0.04
"Voyage Charter";"Hamburg";4;"Marseille";2;30823;0;"Fertilizers";FALSE;FALSE;FALSE;8;"USD";0;-2;TRUE;20220;0;0;0;0;0;8088;"Brauner International";0.05
"Voyage Charter";"New York";4;"Corpus Christi";3;26344;0;"Manufactureds";FALSE;FALSE;FALSE;14.01;"USD";0;11;TRUE;20220;0.32;0;0;0;0;8088;"McCorran Freight";0.01
"Voyage Charter";"Rotterdam";4;"Corpus Christi";6;84496;0;"Steel Products";FALSE;FALSE;FALSE;13.16;"USD";0;17;FALSE;19373;0.03;0;0;0;0;7749;"ABC Logisitcs";0.01
"Voyage Charter";"Richards Bay";4;"Karachi";4;30777;0;"Coal";FALSE;FALSE;FALSE;13.57;"USD";0;10;FALSE;20220;0.16;0;0;0;0;8088;"BYFCP";0.04
"Voyage Charter";"Antwerp";4;"Jeddah";8;47452;0;"Agribulk";FALSE;FALSE;FALSE;14.99;"USD";0;-5;TRUE;15895;0.18;0;0;0;0;6358;"Worldwide Freight";0.03
"Voyage Charter";"Antwerp";4;"Rotterdam";1;9267;0;"Steel Products";FALSE;FALSE;FALSE;19.98;"USD";0;-1;FALSE;11150;0.4;0;0;0;0;4460;"ABC Logisitcs";0.02
"Voyage Charter";"Antwerp";4;"Corpus Christi";6;83706;0;"Steel Products";FALSE;FALSE;FALSE;13.16;"USD";0;17;TRUE;19373;0.21;0;0;0;0;7749;"Brauner International";0.02
"Voyage Charter";"Rotterdam";4;"Antwerp";1;4034;0;"Steel Products";FALSE;FALSE;FALSE;22.44;"USD";0;5;FALSE;11150;0.13;0;0;0;0;4460;"Brauner International";0.03
"Time Charter";"Rotterdam";5;"Rotterdam";25;17149;0;"Ballast";FALSE;TRUE;FALSE;11474;"USD";0;0;FALSE;0;0;17149;20;7;15;6013;"McCorran Freight";0.04
"Voyage Charter";"Hamburg";5;"Portland";11;80445;0;"Steel Products";FALSE;FALSE;FALSE;14.59;"USD";0;8;TRUE;19855;0.06;0;0;0;0;7942;"McCorran Freight";0.02
"Voyage Charter";"Chiba";5;"Rotterdam";11;118474;0;"Coal";FALSE;FALSE;FALSE;15.61;"USD";0;9;TRUE;17058;0.11;0;0;0;0;6823;"Allseas Cargo";0.04
"Voyage Charter";"Marseille";5;"Antwerp";2;18941;0;"Manufactureds";FALSE;FALSE;FALSE;11.9;"USD";0;-1;FALSE;15033;0.49;0;0;0;0;6013;"Great Eagle Tranport Services";0.03
"Voyage Charter";"Izmir";5;"Rotterdam";2;60287;0;"Coal";FALSE;FALSE;FALSE;10.38;"USD";0;6;TRUE;15895;0.2;0;0;0;0;6358;"Worldwide Freight";0.02
"Voyage Charter";"Shanghai";5;"Corpus Christi";12;56399;0;"Manufactureds";FALSE;FALSE;FALSE;22;"USD";0;20;TRUE;24253;0.04;0;0;0;0;9701;"Omega Forwarding";0.05
"Voyage Charter";"Dampier";5;"Dalian";4;34084;0;"Iron Ore";FALSE;FALSE;FALSE;9.69;"USD";0;12;FALSE;20220;0.28;0;0;0;0;8088;"Continental Maritime";0.04
"Voyage Charter";"New York";5;"Shanghai";11;70223;0;"Agribulk";FALSE;FALSE;FALSE;16.16;"USD";0;7;FALSE;24253;0.18;0;0;0;0;9701;"ABC Logisitcs";0.04
"Time Charter";"Hamburg";5;"Hamburg";5;6107;0;"Ballast";FALSE;TRUE;FALSE;7471;"USD";0;0;FALSE;0;0;6107;15;6;15;4541;"McCorran Freight";0.02
"Voyage Charter";"Rotterdam";5;"Gothenburg";1;10520;0;"Iron Ore";FALSE;TRUE;FALSE;20.35;"USD";0;4;TRUE;11353;0.46;0;0;0;0;4541;"Worldwide Freight";0.01
"Voyage Charter";"Rotterdam";5;"Gijon";2;16778;0;"Iron Ore";FALSE;FALSE;FALSE;24.86;"USD";0;5;TRUE;14763;0.02;0;0;0;0;5905;"Great Eagle Tranport Services";0.04
"Voyage Charter";"Rotterdam";5;"Marseille";2;24280;0;"Alumina";FALSE;FALSE;FALSE;9.5;"USD";0;0;TRUE;14763;0.32;0;0;0;0;5905;"Mann Global Logistics";0.03
"Voyage Charter";"Hamburg";5;"Antwerp";1;6520;0;"Manufactureds";FALSE;FALSE;FALSE;29.34;"USD";0;4;TRUE;11353;0.5;0;0;0;0;4541;"Bosman Freight Forwarders";0.05
"Voyage Charter";"Dunkirk";5;"Tallinn";2;9997;0;"Manufactureds";FALSE;TRUE;FALSE;15;"USD";0;-3;FALSE;14763;0.18;0;0;0;0;5905;"Bosman Freight Forwarders";0.04
"Voyage Charter";"Corpus Christi";5;"Rotterdam";5;45033;0;"Coal";FALSE;FALSE;FALSE;14.43;"USD";0;12;TRUE;19470;0.32;0;0;0;0;7788;"Brauner International";0.04
"Voyage Charter";"Chiba";5;"Incheon";1;13056;0;"Manufactureds";FALSE;FALSE;FALSE;27;"USD";0;0;FALSE;14763;0.08;0;0;0;0;5905;"Bosman Freight Forwarders";0.05
"Voyage Charter";"Rostock";5;"Odessa";11;53688;0;"Minor Ores";TRUE;TRUE;FALSE;11.08;"USD";0;57;FALSE;16840;0.48;0;0;0;0;6736;"Brauner International";0.02
"Voyage Charter";"Antwerp";5;"Izmir";2;64287;0;"Steel Products";FALSE;FALSE;FALSE;8.4;"USD";0;6;FALSE;16840;0.07;0;0;0;0;6736;"ABC Logisitcs";0.05
"Voyage Charter";"Shanghai";5;"New York";13;78343;0;"Manufactureds";FALSE;FALSE;FALSE;27.29;"USD";0;30;FALSE;26425;0.24;0;0;0;0;10570;"McCorran Freight";0.01
"Voyage Charter";"Antwerp";5;"Rotterdam";1;4622;0;"Iron Ore";FALSE;FALSE;FALSE;21.11;"USD";0;4;TRUE;11353;0.2;0;0;0;0;4541;"ABC Logisitcs";0.02
"Voyage Charter";"Marseille";5;"Rotterdam";2;37903;0;"Coal";FALSE;FALSE;FALSE;7.52;"USD";0;-4;TRUE;19470;0;0;0;0;0;7788;"Brauner International";0.01
"Voyage Charter";"Hamburg";5;"Mina Saqr";10;73218;0;"Fertilizers";FALSE;FALSE;FALSE;9.77;"USD";0;15;FALSE;21018;0.28;0;0;0;0;8407;"ABC Logisitcs";0.03
"Voyage Charter";"Corpus Christi";5;"New York";3;31685;0;"Coal";FALSE;FALSE;FALSE;9.16;"USD";0;10;TRUE;19470;0.11;0;0;0;0;7788;"McCorran Freight";0.02
"Voyage Charter";"Corpus Christi";6;"New York";4;24871;0;"Grain";FALSE;FALSE;FALSE;13.16;"USD";0;10;FALSE;15033;0.19;0;0;0;0;6013;"Intercargo Services";0.01
"Voyage Charter";"Gijon";6;"Rotterdam";2;9505;0;"Iron Ore";FALSE;FALSE;FALSE;20.55;"USD";0;6;TRUE;13675;0.43;0;0;0;0;5470;"Great Eagle Tranport Services";0.02
"Voyage Charter";"Gijon";6;"Antwerp";2;30936;0;"Steel Products";FALSE;FALSE;FALSE;12.53;"USD";0;5;TRUE;17550;0.21;0;0;0;0;7020;"Brauner International";0.03
"Voyage Charter";"Corpus Christi";6;"Gijon";5;31618;0;"Coal";FALSE;FALSE;FALSE;12.83;"USD";0;11;FALSE;17550;0.33;0;0;0;0;7020;"Allseas Cargo";0.03
"Voyage Charter";"Corpus Christi";6;"Kamsar";5;36380;0;"Coal";FALSE;FALSE;FALSE;14.52;"USD";0;11;TRUE;17550;0.43;0;0;0;0;7020;"BYFCP";0.02
"Voyage Charter";"New York";6;"Tubarao";4;61886;0;"Agribulk";FALSE;FALSE;FALSE;15.85;"USD";0;7;FALSE;19855;0.49;0;0;0;0;7942;"ABC Logisitcs";0.04
"Voyage Charter";"Hamburg";6;"Marseille";2;30038;0;"Fertilizers";FALSE;FALSE;FALSE;14.09;"USD";0;5;TRUE;19470;0.47;0;0;0;0;7788;"Great Eagle Tranport Services";0.05
"Voyage Charter";"Hamburg";6;"Marseille";2;25297;0;"Fertilizers";FALSE;FALSE;FALSE;14.98;"USD";0;0;TRUE;14763;0.16;0;0;0;0;5905;"Worldwide Freight";0.03
"Voyage Charter";"Chiba";6;"Kamsar";8;36000;0;"Steel Products";FALSE;FALSE;FALSE;19.67;"USD";0;6;FALSE;19470;0.16;0;0;0;0;7788;"McCorran Freight";0.05
"Voyage Charter";"Dampier";6;"Kolkata";3;23334;0;"Iron Ore";FALSE;FALSE;FALSE;21.07;"USD";0;11;FALSE;14763;0.29;0;0;0;0;5905;"Continental Maritime";0.04
"Voyage Charter";"Hamburg";6;"Rotterdam";1;16858;0;"Manufactureds";FALSE;FALSE;FALSE;26.38;"USD";0;6;FALSE;15420;0.46;0;0;0;0;6168;"Brauner International";0.05
"Voyage Charter";"Corpus Christi";6;"Portland";13;120932;0;"Grain";FALSE;FALSE;FALSE;12.73;"USD";0;25;TRUE;17508;0.17;0;0;0;0;7003;"ABC Logisitcs";0.02
"Voyage Charter";"Shanghai";6;"Portland";4;36442;0;"Fertilizers";FALSE;FALSE;FALSE;14.19;"USD";0;6;FALSE;20578;0.26;0;0;0;0;8231;"ABC Logisitcs";0.04
"Voyage Charter";"Shanghai";6;"Corpus Christi";14;155087;0;"Bauxite";FALSE;FALSE;FALSE;6.78;"USD";0;32;FALSE;28960;0.1;0;0;0;0;11584;"ABC Logisitcs";0.02
"Voyage Charter";"Chiba";6;"Portland";4;57599;0;"Manufactureds";FALSE;FALSE;FALSE;10;"USD";0;8;TRUE;17888;0.06;0;0;0;0;7155;"Omega Forwarding";0.04
"Voyage Charter";"Rotterdam";6;"Mina Saqr";11;124663;0;"Steel Products";FALSE;FALSE;FALSE;6.48;"USD";0;24;FALSE;16128;0.23;0;0;0;0;6451;"Cargo Excellence";0.04
"Voyage Charter";"Gijon";6;"Rotterdam";2;33285;0;"Iron Ore";FALSE;FALSE;FALSE;7.8;"USD";0;-4;FALSE;20578;0.03;0;0;0;0;8231;"Worldwide Freight";0.02
"Contract Of Affreightment";"Izmir";7;"Rotterdam";53;39054;9;"Coal";FALSE;FALSE;FALSE;7.32;"USD";6;0;TRUE;17550;0;0;0;0;0;7020;"ABC Logisitcs";0.03
"Voyage Charter";"Marseille";7;"Gothenburg";4;26591;0;"Agribulk";FALSE;TRUE;FALSE;11.1;"USD";0;0;TRUE;17550;0.12;0;0;0;0;7020;"Great Eagle Tranport Services";0.05
"Voyage Charter";"Marseille";7;"Antwerp";3;28981;0;"Steel Products";FALSE;FALSE;FALSE;12.53;"USD";0;5;FALSE;17550;0.11;0;0;0;0;7020;"ABC Logisitcs";0.01
"Voyage Charter";"Corpus Christi";7;"Mina Saqr";12;119579;0;"Grain";FALSE;FALSE;FALSE;15.65;"USD";0;29;FALSE;16490;0.49;0;0;0;0;6596;"McCorran Freight";0.05
"Voyage Charter";"Guangzhou";7;"Newcastle";4;27780;0;"Manufactureds";FALSE;FALSE;FALSE;10.03;"USD";0;7;FALSE;20220;0.3;0;0;0;0;8088;"Omega Forwarding";0.05
"Voyage Charter";"Hai Phong";7;"New York";10;56927;0;"Manufactureds";FALSE;FALSE;FALSE;22.57;"USD";0;11;TRUE;19373;0.19;0;0;0;0;7749;"ABC Logisitcs";0.01
"Voyage Charter";"Antwerp";7;"Rotterdam";1;4195;0;"Iron Ore";FALSE;FALSE;FALSE;21.11;"USD";0;4;TRUE;11353;0.46;0;0;0;0;4541;"ABC Logisitcs";0.05
"Voyage Charter";"Gothenburg";7;"Gdansk";1;9257;0;"Manufactureds";FALSE;TRUE;FALSE;23.35;"USD";0;5;FALSE;11353;0.43;0;0;0;0;4541;"Bosman Freight Forwarders";0.04
"Voyage Charter";"Tubarao";7;"San Antonio";4;23375;0;"Agribulk";FALSE;FALSE;FALSE;18.55;"USD";0;9;TRUE;20578;0.21;0;0;0;0;8231;"Crafters Group";0.01
"Voyage Charter";"Odessa";7;"Rotterdam";8;52697;0;"Iron Ore";TRUE;TRUE;FALSE;7.21;"USD";0;40;FALSE;20578;0.1;0;0;0;0;8231;"ABC Logisitcs";0.04
"Voyage Charter";"New York";7;"Antwerp";3;22898;0;"Agribulk";FALSE;FALSE;FALSE;26.22;"USD";0;6;FALSE;15420;0.36;0;0;0;0;6168;"Worldwide Freight";0.05
"Voyage Charter";"Guangzhou";7;"New York";10;38451;0;"Project";FALSE;FALSE;FALSE;38.73;"USD";0;8;TRUE;17508;0.04;0;0;0;0;7003;"ABC Logisitcs";0.02
"Voyage Charter";"Gijon";7;"Hamburg";3;41509;0;"Coal";FALSE;FALSE;FALSE;10;"USD";0;-3;FALSE;20765;0.08;0;0;0;0;8306;"Allseas Cargo";0.04
"Voyage Charter";"Incheon";7;"Kashima";3;11049;0;"Bauxite";FALSE;FALSE;FALSE;20.02;"USD";0;7;TRUE;11025;0.37;0;0;0;0;4410;"Mann Global Logistics";0.05
"Voyage Charter";"New York";7;"Odessa";7;32721;0;"Coal";TRUE;TRUE;FALSE;16.73;"USD";0;26;TRUE;20765;0.43;0;0;0;0;8306;"Allseas Cargo";0.03
"Voyage Charter";"Dalian";7;"Dampier";4;26123;0;"Woodproducts";FALSE;FALSE;FALSE;22.59;"USD";0;10;TRUE;15228;0.32;0;0;0;0;6091;"Omega Forwarding";0.01
"Voyage Charter";"Mina Qaboos";7;"Mumbai";1;39454;0;"Steel Products";FALSE;FALSE;FALSE;9.56;"USD";0;7;FALSE;20765;0.38;0;0;0;0;8306;"Bosman Freight Forwarders";0.01
"Voyage Charter";"Antwerp";7;"New York";4;58123;0;"Steel Products";FALSE;FALSE;FALSE;11.51;"USD";0;7;FALSE;16150;0.23;0;0;0;0;6460;"Bosman Freight Forwarders";0.05
"Voyage Charter";"Chiba";7;"Kashima";1;4661;0;"Coal";FALSE;FALSE;FALSE;6.85;"USD";0;6;FALSE;11025;0.49;0;0;0;0;4410;"Omega Forwarding";0.04
"Contract Of Affreightment";"New York";8;"Corpus Christi";54;26352;6;"Agribulk";FALSE;FALSE;FALSE;11.25;"USD";10;0;FALSE;17550;0;0;0;0;0;7020;"McCorran Freight";0.04
"Voyage Charter";"Hamburg";8;"Marseille";3;96976;0;"Fertilizers";FALSE;FALSE;FALSE;8.05;"USD";0;8;TRUE;19208;0.33;0;0;0;0;7683;"Brauner International";0.03
"Voyage Charter";"Incheon";8;"New York";11;88267;0;"Bauxite";FALSE;FALSE;FALSE;11.25;"USD";0;7;FALSE;19373;0.49;0;0;0;0;7749;"Omega Forwarding";0.01
"Voyage Charter";"Chiba";8;"Gdansk";11;81207;0;"Manufactureds";FALSE;TRUE;FALSE;28.55;"USD";0;12;TRUE;17475;0.16;0;0;0;0;6990;"McCorran Freight";0.05
"Voyage Charter";"Pasir Gudang";8;"Sihanoukville";2;14976;0;"Manufactureds";FALSE;FALSE;FALSE;28.07;"USD";0;11;FALSE;15420;0.17;0;0;0;0;6168;"Blue Mountain Logistics";0.02
"Voyage Charter";"Corpus Christi";8;"Mina Saqr";11;70658;0;"Agribulk";FALSE;FALSE;FALSE;28.08;"USD";0;22;FALSE;17365;0.49;0;0;0;0;6946;"Cargo Excellence";0.03
"Voyage Charter";"San Antonio";8;"Dalian";8;50668;0;"Minor Ores";FALSE;FALSE;FALSE;18.64;"USD";0;14;FALSE;20765;0.29;0;0;0;0;8306;"Crafters Group";0.01
"Voyage Charter";"Richards Bay";8;"Dalian";7;72115;0;"Coal";FALSE;FALSE;FALSE;11.78;"USD";0;16;FALSE;18265;0.25;0;0;0;0;7306;"Omega Forwarding";0.02
"Voyage Charter";"Rotterdam";8;"Antwerp";1;4972;0;"Steel Products";FALSE;FALSE;FALSE;22.08;"USD";0;2;FALSE;11025;0.39;0;0;0;0;4410;"Bosman Freight Forwarders";0.05
"Voyage Charter";"Incheon";8;"Gdansk";11;67851;0;"Manufactureds";FALSE;TRUE;FALSE;33.03;"USD";0;14;FALSE;29230;0.23;0;0;0;0;11692;"Bosman Freight Forwarders";0.01
"Voyage Charter";"Tubarao";8;"Rio Grande";2;14096;0;"Steam Coal";FALSE;FALSE;FALSE;25.4;"USD";0;6;FALSE;11025;0.29;0;0;0;0;4410;"Crafters Group";0.05
"Voyage Charter";"Tallinn";8;"Rotterdam";2;31101;0;"Steel Products";FALSE;TRUE;FALSE;7.11;"EUR";0;7;TRUE;20765;0.4;0;0;0;0;8306;"Brauner International";0.01
"Contract Of Affreightment";"Tallinn";8;"Dunkirk";53;51004;11;"Woodproducts";FALSE;TRUE;FALSE;4.4;"EUR";8;0;TRUE;17598;0;0;0;0;0;7039;"Worldwide Freight";0.05
"Voyage Charter";"Marseille";8;"Jeddah";8;58871;0;"Grain";FALSE;FALSE;FALSE;17.03;"USD";0;9;FALSE;16630;0.34;0;0;0;0;6652;"Cargo Excellence";0.04
"Voyage Charter";"Rotterdam";8;"Gothenburg";1;9333;0;"Steel Products";FALSE;TRUE;FALSE;20.64;"USD";0;4;TRUE;13498;0.36;0;0;0;0;5399;"ABC Logisitcs";0.05
"Voyage Charter";"Tubarao";8;"Dampier";7;38000;0;"Iron Ore";FALSE;FALSE;FALSE;15.02;"USD";0;12;FALSE;17598;0.22;0;0;0;0;7039;"Continental Maritime";0.05
"Voyage Charter";"Hamburg";8;"Rotterdam";1;14732;0;"Steel Products";FALSE;FALSE;FALSE;15;"USD";0;-1;TRUE;14935;0.22;0;0;0;0;5974;"Bosman Freight Forwarders";0.01
"Voyage Charter";"Chiba";8;"New York";11;89887;0;"Steel Products";FALSE;FALSE;FALSE;13.08;"USD";0;7;FALSE;19760;0.1;0;0;0;0;7904;"ABC Logisitcs";0.03
"Voyage Charter";"Antwerp";8;"Rotterdam";1;4469;0;"Agribulk";FALSE;FALSE;FALSE;14;"USD";0;0;TRUE;13498;0.19;0;0;0;0;5399;"Brauner International";0.04
"Voyage Charter";"Gdansk";8;"Odessa";10;75839;0;"Coal";TRUE;TRUE;FALSE;11.95;"USD";0;49;TRUE;19760;0;0;0;0;0;7904;"Brauner International";0.02
"Voyage Charter";"Corpus Christi";8;"New York";3;42530;0;"Grain";FALSE;FALSE;FALSE;9.67;"USD";0;13;FALSE;17598;0.23;0;0;0;0;7039;"McCorran Freight";0.04
"Voyage Charter";"Rotterdam";8;"Marseille";2;21407;0;"Fertilizers";FALSE;FALSE;FALSE;7;"USD";0;5;TRUE;14935;0.49;0;0;0;0;5974;"ABC Logisitcs";0.05
"Voyage Charter";"Gdansk";8;"Gothenburg";1;3873;0;"Manufactureds";FALSE;TRUE;FALSE;25;"BRL";0;0;TRUE;13498;0.48;0;0;0;0;5399;"Bosman Freight Forwarders";0.01
"Voyage Charter";"Hamburg";9;"Gothenburg";1;12814;0;"Steel Products";FALSE;TRUE;FALSE;18.5;"USD";0;0;FALSE;11150;0.43;0;0;0;0;4460;"Brauner International";0.01
"Voyage Charter";"Rio Grande";9;"New York";5;85591;0;"Grain";FALSE;FALSE;FALSE;13.45;"USD";0;9;FALSE;24253;0.33;0;0;0;0;9701;"Intercargo Services";0.03
"Voyage Charter";"Tubarao";9;"Marseille";5;135384;0;"Fertilizers";FALSE;FALSE;FALSE;8.57;"USD";0;12;FALSE;16455;0.4;0;0;0;0;6582;"Great Eagle Tranport Services";0.02
"Contract Of Affreightment";"Chiba";9;"Mina Saqr";53;33863;6;"Agribulk";FALSE;FALSE;FALSE;17.28;"USD";12;0;FALSE;19470;0;0;0;0;0;7788;"McCorran Freight";0.04
"Voyage Charter";"Dunkirk";9;"Rotterdam";1;7807;0;"Steel Products";FALSE;FALSE;FALSE;20.77;"USD";0;5;TRUE;11353;0.13;0;0;0;0;4541;"Bosman Freight Forwarders";0.05
"Voyage Charter";"San Vicente";9;"Gothenburg";7;50495;0;"Coal";FALSE;TRUE;FALSE;18.03;"USD";0;8;TRUE;20578;0.11;0;0;0;0;8231;"Crafters Group";0.05
